,node_Author_col_0,Author_feat_col,graph_year
10,53f473efdabfaee43ed2ba26,"{'type': 0, 'size': 68.0, 'indices': array([ 7,  9, 10, 11, 47, 48, 49, 50, 51, 57, 58, 59, 60, 61, 62, 63, 64,
       65, 66, 67], dtype=int32), 'values': array([1., 1., 2., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 2., 1., 1.,
       1., 1., 1.])}",2017
11,53f39da8dabfae4b34aa4f60,"{'type': 0, 'size': 68.0, 'indices': array([ 0,  1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 62, 63, 64,
       65, 66, 67], dtype=int32), 'values': array([1. , 1. , 2. , 1. , 1. , 1. , 1. , 1. , 1. , 1. , 2. , 1. , 2. ,
       1. , 2. , 1.5, 1. , 2. , 1. , 1. ])}",2017
12,562c8c8e45cedb3398c5a99d,"{'type': 0, 'size': 68.0, 'indices': array([ 3, 10, 11, 27, 28, 29, 30, 31, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
13,562d106245cedb3398d425f0,"{'type': 0, 'size': 68.0, 'indices': array([ 1, 10, 11, 17, 18, 19, 20, 21, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
14,53f43a2bdabfaedce55520db,"{'type': 0, 'size': 68.0, 'indices': array([10, 11], dtype=int32), 'values': array([1., 1.])}",2017
15,53f448fadabfaee4dc7db9c7,"{'type': 0, 'size': 68.0, 'indices': array([ 4,  5,  6, 10, 11, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43,
       44, 45, 46, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 3., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 3., 1., 1., 1., 1., 1.])}",2017
16,53f440cadabfaee1c0adc0e1,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([2., 1., 2., 1., 1., 1., 1., 1.])}",2017
17,53f43d64dabfaedce556590a,"{'type': 0, 'size': 68.0, 'indices': array([10, 11], dtype=int32), 'values': array([1., 1.])}",2017
18,53f4376edabfaee1c0aa6a19,"{'type': 0, 'size': 68.0, 'indices': array([ 4,  5,  7, 10, 11, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 47, 48,
       49, 50, 51, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 3., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 3., 1., 1., 1., 1., 1.])}",2017
19,53f43139dabfaedd74d67c94,"{'type': 0, 'size': 68.0, 'indices': array([ 0,  2,  6,  7,  9, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24, 25, 26,
       42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 57, 58, 59, 60, 61, 62, 63,
       64, 65, 66, 67], dtype=int32), 'values': array([ 1.,  1.,  1.,  1.,  1., 12.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.,  1.,  1.,  1.,  1.,  1., 10.,  1.,  1.,  1.,  1.,  1.])}",2017
20,53f477fcdabfaec09f2848e6,"{'type': 0, 'size': 68.0, 'indices': array([10, 11], dtype=int32), 'values': array([2., 1.])}",2017
21,562f1ea045cedb339953b921,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
22,53f42b7fdabfaec22b9f9ef2,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([2., 1., 2., 1., 1., 1., 1., 1.])}",2017
23,5612ef9445cedb339797cb0f,"{'type': 0, 'size': 68.0, 'indices': array([ 0, 10, 11, 12, 13, 14, 15, 16, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
24,53f4503fdabfaee2a1d5bb15,"{'type': 0, 'size': 68.0, 'indices': array([ 9, 10, 11], dtype=int32), 'values': array([1., 1., 1.])}",2017
25,56066a6345cedb3396874b50,"{'type': 0, 'size': 68.0, 'indices': array([ 4, 10, 11, 32, 33, 34, 35, 36, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
26,53f43e54dabfaedd74dd8e4c,"{'type': 0, 'size': 68.0, 'indices': array([ 7, 10, 11, 47, 48, 49, 50, 51, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
27,56315e9e45cedb3399db2260,"{'type': 0, 'size': 68.0, 'indices': array([ 1, 10, 11, 17, 18, 19, 20, 21, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
28,53f352a5dabfae4b3494eebe,"{'type': 0, 'size': 68.0, 'indices': array([ 0,  2,  3,  4, 10, 11, 12, 13, 14, 15, 16, 22, 23, 24, 25, 26, 32,
       33, 34, 35, 36, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 4., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       4., 1., 4., 1., 3., 2., 1., 4., 1., 1.])}",2017
29,53f453bfdabfaeb22f4f678e,"{'type': 1, 'size': None, 'indices': None, 'values': array([ 0.        ,  1.        ,  1.        ,  1.        ,  1.        ,
        1.        ,  1.        ,  0.        ,  1.        ,  1.        ,
       12.        ,  1.        ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  1.        ,  1.        ,  1.        ,
        1.        ,  1.        ,  1.        ,  1.        ,  1.        ,
        1.        ,  1.        ,  1.        ,  1.        ,  1.        ,
        1.        ,  1.        ,  1.        ,  2.        ,  1.        ,
        2.        ,  1.        ,  1.        ,  1.        ,  1.        ,
        1.        ,  1.        ,  1.        ,  1.        ,  1.        ,
        1.        ,  1.        ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  0.        ,  0.        ,  0.        ,
        0.        ,  0.        ,  1.        ,  1.        ,  1.        ,
        1.        ,  1.        , 11.        ,  1.09090909,  1.        ,
        2.        ,  1.        ,  1.        ])}",2017
30,562e67a845cedb339920088e,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 2., 1., 2., 1., 1.])}",2017
31,562fb1d045cedb3399789cc3,"{'type': 0, 'size': 68.0, 'indices': array([ 6, 10, 11, 42, 43, 44, 45, 46, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
32,562ca92e45cedb3398c8a90e,"{'type': 0, 'size': 68.0, 'indices': array([ 1,  4,  5, 10, 11, 17, 18, 19, 20, 21, 32, 33, 34, 35, 36, 37, 38,
       39, 40, 41, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 3., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 3., 1., 1., 1., 1., 1.])}",2017
33,562fa96845cedb3399768fec,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
34,53f45990dabfaedd74e3a5ff,"{'type': 0, 'size': 68.0, 'indices': array([ 6, 10, 11, 42, 43, 44, 45, 46, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
35,53f4d5a5dabfaeedd8783a01,"{'type': 0, 'size': 68.0, 'indices': array([ 3,  5,  7, 10, 11, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41, 47, 48,
       49, 50, 51, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 3., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 3., 1., 1., 1., 1., 1.])}",2017
36,53f459dfdabfaeb2ac0e3a18,"{'type': 0, 'size': 68.0, 'indices': array([ 6, 10, 11, 42, 43, 44, 45, 46, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 3., 1., 1., 1., 1., 1., 1., 2., 1., 1., 1., 1., 1.])}",2017
37,5440a686dabfae7f9b34938b,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
38,53f42feadabfaee02ac80b81,"{'type': 0, 'size': 68.0, 'indices': array([ 5, 10, 11, 37, 38, 39, 40, 41, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 2., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
39,563100a945cedb3399c40f10,"{'type': 0, 'size': 68.0, 'indices': array([ 2,  3, 10, 11, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 62, 63, 64,
       65, 66, 67], dtype=int32), 'values': array([1., 1., 2., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 2., 1., 1.,
       1., 1., 1.])}",2017
40,53f430a4dabfaec22ba41c71,"{'type': 0, 'size': 68.0, 'indices': array([ 6, 10, 11], dtype=int32), 'values': array([1., 1., 1.])}",2017
41,53f4596adabfaedf436172c6,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
42,53f433aedabfaee02acaed76,"{'type': 0, 'size': 68.0, 'indices': array([ 2, 10, 11, 22, 23, 24, 25, 26, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
43,53f4d0ebdabfaef00df8089b,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
44,53f463b5dabfaee2a1da4239,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
45,5630a38f45cedb3399af570b,"{'type': 0, 'size': 68.0, 'indices': array([ 4, 10, 11, 32, 33, 34, 35, 36, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
46,54103db1dabfae92b4267367,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
47,53f7deb1dabfae938c6e5679,"{'type': 0, 'size': 68.0, 'indices': array([ 9, 10, 11, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
48,562ffd1045cedb33998ad6d0,"{'type': 0, 'size': 68.0, 'indices': array([ 5, 10, 11, 37, 38, 39, 40, 41, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
49,53f4ce9ddabfaeedd977c03d,"{'type': 0, 'size': 68.0, 'indices': array([ 3, 10, 11, 27, 28, 29, 30, 31, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
50,562f88cc45cedb33996e97fc,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
51,53f4327adabfaee0d9b3dd57,"{'type': 0, 'size': 68.0, 'indices': array([ 8, 10, 11], dtype=int32), 'values': array([1., 1., 1.])}",2017
52,53f44742dabfaec09f1cc886,"{'type': 0, 'size': 68.0, 'indices': array([ 1,  6,  8, 10, 11, 17, 18, 19, 20, 21, 42, 43, 44, 45, 46, 52, 53,
       54, 55, 56, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 4., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 4., 1., 1., 1., 1., 1.])}",2017
53,562c78a845cedb3398c31549,"{'type': 0, 'size': 68.0, 'indices': array([ 2, 10, 11, 22, 23, 24, 25, 26, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
54,63808143fc451b2d602b5ab3,"{'type': 0, 'size': 68.0, 'indices': array([ 2, 10, 11], dtype=int32), 'values': array([1., 1., 1.])}",2017
55,53f360ecdabfae4b34985c9e,"{'type': 0, 'size': 68.0, 'indices': array([ 1,  4, 10, 11, 17, 18, 19, 20, 21, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 5., 1., 1., 1., 1., 1., 1., 4., 1., 1., 1., 1., 1.])}",2017
56,53f47bd2dabfaefedbbbefb5,"{'type': 0, 'size': 68.0, 'indices': array([10, 11], dtype=int32), 'values': array([1., 1.])}",2017
57,53f46518dabfaedf43640e2f,"{'type': 0, 'size': 68.0, 'indices': array([ 0, 10, 11], dtype=int32), 'values': array([1., 1., 1.])}",2017
58,5626954545ce1e59654373d5,"{'type': 0, 'size': 68.0, 'indices': array([ 3, 10, 11, 27, 28, 29, 30, 31, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
59,53f43361dabfaec22ba62d1c,"{'type': 0, 'size': 68.0, 'indices': array([ 3, 10, 11], dtype=int32), 'values': array([1., 1., 1.])}",2017
60,53f44d0cdabfaeecd69c76e9,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
61,53f435abdabfaee1c0a97905,"{'type': 0, 'size': 68.0, 'indices': array([ 6,  7,  9, 10, 11, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 57, 58,
       59, 60, 61, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1.  , 1.  , 1.  , 4.  , 1.  , 1.  , 2.  , 1.  , 2.  , 1.  , 1.  ,
       1.  , 1.  , 1.  , 1.  , 1.  , 1.  , 1.  , 1.  , 1.  , 4.  , 1.25,
       1.  , 2.  , 1.  , 1.  ])}",2017
62,53f38177dabfae4b349f985b,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
63,562c5ea745cedb3398c0287e,"{'type': 0, 'size': 68.0, 'indices': array([ 3, 10, 11, 27, 28, 29, 30, 31, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
64,53f4413adabfaeb2ac08b069,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([2., 1., 1., 1., 1., 1., 1., 1.])}",2017
65,561dbd2545ce1e596487d9d9,"{'type': 0, 'size': 68.0, 'indices': array([ 2,  4, 10, 11, 22, 23, 24, 25, 26, 32, 33, 34, 35, 36, 62, 63, 64,
       65, 66, 67], dtype=int32), 'values': array([1., 1., 2., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 2., 1., 1.,
       1., 1., 1.])}",2017
66,53f45720dabfaeb22f503e8e,"{'type': 0, 'size': 68.0, 'indices': array([ 4, 10, 11, 32, 33, 34, 35, 36, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
67,53f458ebdabfaee02ad62755,"{'type': 0, 'size': 68.0, 'indices': array([ 5, 10, 11, 37, 38, 39, 40, 41, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1. , 2. , 1. , 1. , 1. , 1. , 1. , 1. , 2. , 1.5, 1. , 2. , 1. ,
       1. ])}",2017
68,562e274145cedb33990c500a,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
69,53f4b0a2dabfaedce5643840,"{'type': 0, 'size': 68.0, 'indices': array([ 3, 10, 11, 27, 28, 29, 30, 31, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
70,5630140b45cedb33999052e7,"{'type': 0, 'size': 68.0, 'indices': array([ 0, 10, 11, 12, 13, 14, 15, 16, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
71,562f40c745cedb33995c85a3,"{'type': 0, 'size': 68.0, 'indices': array([ 3, 10, 11, 27, 28, 29, 30, 31, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
72,53f4cb8adabfaeeb16f80fb9,"{'type': 0, 'size': 68.0, 'indices': array([ 8, 10, 11, 52, 53, 54, 55, 56, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
73,562fec2e45cedb3399865ba5,"{'type': 0, 'size': 68.0, 'indices': array([ 0, 10, 11, 12, 13, 14, 15, 16, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
74,53f43b66dabfaee4dc7b3ad3,"{'type': 0, 'size': 68.0, 'indices': array([ 8, 10, 11, 52, 53, 54, 55, 56, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
75,53f43435dabfaeb2ac03de98,"{'type': 0, 'size': 68.0, 'indices': array([ 5, 10, 11, 37, 38, 39, 40, 41, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
76,53f4565fdabfaedf4360b900,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
77,560e7d6745cedb3397680aba,"{'type': 0, 'size': 68.0, 'indices': array([ 5, 10, 11, 37, 38, 39, 40, 41, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
78,53f43388dabfaedce5511f26,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([2., 1., 1., 1., 1., 1., 1., 1.])}",2017
79,53f436dddabfaeb2ac057165,"{'type': 0, 'size': 68.0, 'indices': array([ 4,  5, 10, 11, 37, 38, 39, 40, 41, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 2., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
80,53f42d25dabfaee02ac5d8ca,"{'type': 0, 'size': 68.0, 'indices': array([ 3,  5, 10, 11, 27, 28, 29, 30, 31, 37, 38, 39, 40, 41, 62, 63, 64,
       65, 66, 67], dtype=int32), 'values': array([1., 1., 2., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 2., 1., 1.,
       1., 1., 1.])}",2017
81,53f3297bdabfae9a84484936,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
82,53f4487edabfaee1c0af5228,"{'type': 0, 'size': 68.0, 'indices': array([10, 11], dtype=int32), 'values': array([2., 1.])}",2017
83,562d3e2f45cedb3398d9be25,"{'type': 0, 'size': 68.0, 'indices': array([ 3, 10, 11, 27, 28, 29, 30, 31, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
84,53f38c22dabfae4b34a372ab,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
85,5631597045cedb3399d9fbdf,"{'type': 0, 'size': 68.0, 'indices': array([ 0,  5, 10, 11, 12, 13, 14, 15, 16, 37, 38, 39, 40, 41, 62, 63, 64,
       65, 66, 67], dtype=int32), 'values': array([1., 1., 2., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 2., 1., 1.,
       1., 1., 1.])}",2017
86,53f43467dabfaedf4356cb44,"{'type': 0, 'size': 68.0, 'indices': array([ 9, 10, 11, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 3., 1., 1., 1., 1., 1., 1., 3., 1., 1., 1., 1., 1.])}",2017
87,53f49f46dabfaec18977b765,"{'type': 0, 'size': 68.0, 'indices': array([ 2,  3,  4,  5,  8, 10, 11, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31,
       37, 38, 39, 40, 41, 52, 53, 54, 55, 56, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 5., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 4., 1., 1., 1., 1., 1.])}",2017
88,53f43aaadabfaefedbaf1a28,"{'type': 0, 'size': 68.0, 'indices': array([ 6, 10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 3., 1., 1., 1., 1., 1., 1., 1.])}",2017
89,562e2efa45cedb33990eb7e8,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
90,53f48d99dabfaee4dc8b30d7,"{'type': 0, 'size': 68.0, 'indices': array([ 6, 10, 11, 42, 43, 44, 45, 46, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 2., 1., 1., 1., 1., 1., 1., 2., 1., 1., 1., 1., 1.])}",2017
91,53f44c21dabfaee43ec94d37,"{'type': 0, 'size': 68.0, 'indices': array([ 7, 10, 11, 47, 48, 49, 50, 51, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
92,562e6fc145cedb3399222b65,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
93,53f4657fdabfaeee22a50364,"{'type': 0, 'size': 68.0, 'indices': array([ 6,  8, 10, 11, 42, 43, 44, 45, 46, 52, 53, 54, 55, 56, 62, 63, 64,
       65, 66, 67], dtype=int32), 'values': array([1., 1., 2., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 2., 1., 1.,
       1., 1., 1.])}",2017
